id;name;bezeichnung;zusammenfassung;start;ende;gesamt;satz;kofinanzierung;plz;land;themenfeld
3;"Landesjugendring Berlin";"Freiwilliges Soziales Jahr (FSJ) in der Jugendverbandsarbeit";"Die Rahmenbedingungen für ein FSJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FSJ ist ein einjähriges Bildungs- und Orientierungsjahr als bundeseinheitlich geregelter nachschulischer Freiwilligendienst (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres) für Jugendliche und junge Erwachsene nach Beendigung der Schulpflicht, die für sich noch keine berufliche Perspektive entwickelt haben oder aus anderen Gründen eine Überbrückung bis hin zur Aufnahme einer weiteren Qualifizierung suchen.
Es wird ganztägig als überwiegend freiwillige soziale Tätigkeit, die an Lernzielen orientiert ist und in geeigneten Stellen und Einrichtungen geleistet wird, die zur Verbesserung der Berufsorientierung und &ndash;vorbereitung durch Heranführung an mögliche Berufsfelder in den Bereichen der sozialen Arbeit sowie der Erziehung, Bildung und Kultur beitragen.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;381.764;43,60%;48.685;10963;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
6;"Landesjugendring Berlin";"Freiwilliges Soziales Jahr (FSJ) in der Jugendverbandsarbeit";"Die Rahmenbedingungen für ein FSJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FSJ ist ein einjähriges Bildungs- und Orientierungsjahr als bundeseinheitlich geregelter nachschulischer Freiwilligendienst (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres) für Jugendliche und junge Erwachsene nach Beendigung der Schulpflicht, die für sich noch keine berufliche Perspektive entwickelt haben oder aus anderen Gründen eine Überbrückung bis hin zur Aufnahme einer weiteren Qualifizierung suchen.
Es wird ganztägig als überwiegend freiwillige soziale Tätigkeit, die an Lernzielen orientiert ist und in geeigneten Stellen und Einrichtungen geleistet wird, die zur Verbesserung der Berufsorientierung und &ndash;vorbereitung durch Heranführung an mögliche Berufsfelder in den Bereichen der sozialen Arbeit sowie der Erziehung, Bildung und Kultur beitragen.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;381.764;43,60%;48.685;10963;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
9;"Stiftung Naturschutz Berlin";"Projekt: 1600006356 - Antrag - FÖJ 2015/2016 - SNB - Projekt _170 Freiwilliges Ökologisches Jahr";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.";2015-09-01;2016-08-31;1.741;50%;708.944;10785;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
12;"Stiftung Naturschutz Berlin";"Projekt: 1600006356 - Antrag - FÖJ 2015/2016 - SNB - Projekt _170 Freiwilliges Ökologisches Jahr";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.";2015-09-01;2016-08-31;1.741;50%;708.944;10785;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
15;"Vereinigung Junger Freiwilliger e.V.";"Freiwilliges Ökologisches Jahr";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Zuwendung ist zweckgebunden und entsprechend Ihrem Antrag nebst allen Anlagen und Beschreibungen und die  Bundesmittel  sind ausschließlich bestimmt für die pädagogische Begleitung im Freiwilligen Ökologischen Jahr im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;656.605;50%;269.4;13088;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
18;"Vereinigung Junger Freiwilliger e.V.";"Freiwilliges Ökologisches Jahr";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Zuwendung ist zweckgebunden und entsprechend Ihrem Antrag nebst allen Anlagen und Beschreibungen und die  Bundesmittel  sind ausschließlich bestimmt für die pädagogische Begleitung im Freiwilligen Ökologischen Jahr im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;656.605;50%;269.4;13088;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
21;"LKJ Berlin e.V.";"Freiwilliges Soziales Jahr in der Kultur (FSJ Kultur) 2015-2016";"Die Rahmenbedingungen für ein FSJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
 Das FSJ ist ein einjähriges Bildungs- und Orientierungsjahr als bundeseinheitlich geregelter nachschulischer Freiwilligendienst (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres) für Jugendliche und junge Erwachsene nach Beendigung der Schulpflicht, die für sich noch keine berufliche Perspektive entwickelt haben oder aus anderen Gründen eine Überbrückung bis hin zur Aufnahme einer weiteren Qualifizierung suchen.
 Es wird ganztägig als überwiegend freiwillige soziale Tätigkeit, die an Lernzielen orientiert ist und in geeigneten Stellen und Einrichtungen geleistet wird, die zur Verbesserung der Berufsorientierung und &ndash;vorbereitung durch Heranführung an mögliche Berufsfelder in den Bereichen der sozialen Arbeit sowie der Erziehung, Bildung und Kultur beitragen.
 Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
 Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;941.69;21,20%;742.056;10963;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
24;"LKJ Berlin e.V.";"Freiwilliges Soziales Jahr in der Kultur (FSJ Kultur) 2015-2016";"Die Rahmenbedingungen für ein FSJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
 Das FSJ ist ein einjähriges Bildungs- und Orientierungsjahr als bundeseinheitlich geregelter nachschulischer Freiwilligendienst (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres) für Jugendliche und junge Erwachsene nach Beendigung der Schulpflicht, die für sich noch keine berufliche Perspektive entwickelt haben oder aus anderen Gründen eine Überbrückung bis hin zur Aufnahme einer weiteren Qualifizierung suchen.
 Es wird ganztägig als überwiegend freiwillige soziale Tätigkeit, die an Lernzielen orientiert ist und in geeigneten Stellen und Einrichtungen geleistet wird, die zur Verbesserung der Berufsorientierung und &ndash;vorbereitung durch Heranführung an mögliche Berufsfelder in den Bereichen der sozialen Arbeit sowie der Erziehung, Bildung und Kultur beitragen.
 Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
 Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;941.69;21,20%;742.056;10963;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
27;"Jugendwerk Aufbau Ost JAO gGmbH";"JAO gGmbH FÖJ 2015-2016";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Freiwilligen Ökologischen Jahr im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;648.432;50%;265.426;12627;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
30;"Jugendwerk Aufbau Ost JAO gGmbH";"JAO gGmbH FÖJ 2015-2016";"Die Rahmenbedingungen für ein FÖJ werden durch das Gesetz zur Förderung der Jugendfreiwilligendienste vorgegeben.
Das FÖJ ist ein einjähriges Bildungs- und Beschäftigungsangebot im Umweltbereich (Projektlaufzeit: jährlich vom 01.09. bis 31.08. des Folgejahres). Es wird ganztägig als überwiegend praktische Hilfstätigkeit, die an Lernzielen orientiert ist, in geeigneten Stellen und Einrichtungen geleistet, die im Bereich des Natur- und Umweltschutzes einschließlich der Bildung zur Nachhaltigkeit tätig sind.
Ziel ist es, soziale, kulturelle und interkulturelle Kompetenzen zu vermitteln und das Verantwortungsbewusstsein für das Gemeinwohl zu stärken. Neben der kontinuierlichen individuellen Betreuung der Teilnehmenden ist die Seminararbeit ein wesentlicher Bestandteil der pädagogischen Begleitung. Die Gesamtdauer der Seminare beträgt bezogen auf einen zwölfmonatigen Freiwilligendienst mindestens 25 Tage.
Die Bundesmittel sind ausschließlich bestimmt für die pädagogische Begleitung im Freiwilligen Ökologischen Jahr im Sinne des Gesetzes zur Förderung von Jugendfreiwilligendiensten (JFDG) für den Freiwilligenjahrgang 2015/2016. Grundlage für die Beurteilung der zuwendungsfähigen Ausgaben sind die Rundschreiben des BMFSFJ zum Katalog der zuwendungsfähigen Positionen im FSJ/FÖJ sowie die Rahmenleitlinie für den ESF in Berlin der Förderperiode 2014-2020.";2015-09-01;2016-08-31;648.432;50%;265.426;12627;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
