id;branche;geltungsbereich;persoenlich;ausbildungsjahr;entgelt;ab;hinweise
273;;;;;;1970-01-01;
276;;;;;;1970-01-01;
279;;;;;;1970-01-01;
282;;;;;;1970-01-01;
285;;;;;;1970-01-01;
288;;;;;;1970-01-01;
1584;;;;;;1970-01-01;
1587;;;;;;1970-01-01;
1590;;;;;;1970-01-01;
1593;;;;;;1970-01-01;
1596;;;;;;1970-01-01;
1599;;;;;;1970-01-01;
1602;;;;;;1970-01-01;
1605;;;;;;1970-01-01;
1608;;;;;;1970-01-01;
1611;;;;;;1970-01-01;
1614;;;;;;1970-01-01;
1617;;;;;;1970-01-01;
597;;;;;;1970-01-01;
600;;;;;;1970-01-01;
603;;;;;;1970-01-01;
1380;;;;;;1970-01-01;
615;;;;;;1970-01-01;
1383;;;;;;1970-01-01;
618;;;;;;1970-01-01;
1386;;;;;;1970-01-01;
126;;;;;;1970-01-01;
129;;;;;;1970-01-01;
132;;;;;;1970-01-01;
645;;;;;;1970-01-01;
135;;;;;;1970-01-01;
648;;;;;;1970-01-01;
651;;;;;;1970-01-01;
654;;;;;;1970-01-01;
657;;;;;;1970-01-01;
660;;;;;;1970-01-01;
1185;;;;;;1970-01-01;
1188;;;;;;1970-01-01;
1191;;;;;;1970-01-01;
1194;;;;;;1970-01-01;
171;;;;;;1970-01-01;
1197;;;;;;1970-01-01;
174;;;;;;1970-01-01;
1200;;;;;;1970-01-01;
177;;;;;;1970-01-01;
1203;;;;;;1970-01-01;
180;;;;;;1970-01-01;
1206;;;;;;1970-01-01;
468;;;;;;1970-01-01;
471;;;;;;1970-01-01;
474;;;;;;1970-01-01;
477;;;;;;1970-01-01;
231;;;;;;1970-01-01;
234;;;;;;1970-01-01;
237;;;;;;1970-01-01;
3;"Abbruch- und Abwrackgewerbe
s. auch Schrott- u. Industrieabbruchbetriebe";deutschlandweit;"alle Auszubildenden";1.;561.84;2014-04-01;
6;"Abbruch- und Abwrackgewerbe
s. auch Schrott- u. Industrieabbruchbetriebe";deutschlandweit;"alle Auszubildenden";2.;666.8;2014-04-01;
9;"Abbruch- und Abwrackgewerbe
s. auch Schrott- u. Industrieabbruchbetriebe";deutschlandweit;"alle Auszubildenden";3.;861.26;2014-04-01;
12;Apothekenmitarbeiter/innen;deutschlandweit;"pharmazeut.-kaufmänn. Angestellte";1.;732;2021-01-01;
15;Apothekenmitarbeiter/innen;deutschlandweit;"pharmazeut.-kaufmänn. Angestellte";2.;786;2021-01-01;
18;Apothekenmitarbeiter/innen;deutschlandweit;"pharmazeut.-kaufmänn. Angestellte";3.;840;2021-01-01;
21;"Architektur-, Ingenieur- und Planungsbüros";deutschlandweit;"alle Auszubildenden";1.;653;2021-02-01;"Abschluss des Arbeitgeberverbandes selbstständiger Ingenieure und Architekten (ASIA)"
24;"Architektur-, Ingenieur- und Planungsbüros";deutschlandweit;"alle Auszubildenden";2.;818;2021-02-01;"Abschluss des Arbeitgeberverbandes selbstständiger Ingenieure und Architekten (ASIA)"
27;"Architektur-, Ingenieur- und Planungsbüros";deutschlandweit;"alle Auszubildenden";3.;982;2021-02-01;"Abschluss des Arbeitgeberverbandes selbstständiger Ingenieure und Architekten (ASIA)"
39;"Bäckerhandwerk, in Brandenburg auch Konditorenhandwerk";deutschlandweit;"alle Auszubildenden";1.;680;2022-02-01;"in Brandenburg auch für das Konditorenhandwerk"
42;"Bäckerhandwerk, in Brandenburg auch Konditorenhandwerk";deutschlandweit;"alle Auszubildenden";2.;755;2022-02-01;"in Brandenburg auch für das Konditorenhandwerk"
45;"Bäckerhandwerk, in Brandenburg auch Konditorenhandwerk";deutschlandweit;"alle Auszubildenden";3.;885;2022-02-01;"in Brandenburg auch für das Konditorenhandwerk"
48;"Bankgewerbe, privates";deutschlandweit;"alle Auszubildenden";1.;1036;2019-09-01;"z. T. auch öffentliches"
51;"Bankgewerbe, privates";deutschlandweit;"alle Auszubildenden";2.;1098;2019-09-01;"z. T. auch öffentliches"
54;"Bankgewerbe, privates";deutschlandweit;"alle Auszubildenden";3.;1160;2019-09-01;"z. T. auch öffentliches"
57;Baugewerbe;Berlin;"gewerblich Auszubildende";1.;838;2021-01-01;
60;Baugewerbe;Berlin;"gewerblich Auszubildende";2.;1102;2021-01-01;
63;Baugewerbe;Berlin;"gewerblich Auszubildende";3.;1336;2021-01-01;
66;Baugewerbe;Berlin;"gewerblich Auszubildende";4.;1406;2021-01-01;
69;Baugewerbe;Berlin;"kaufmännisch/ technisch Auszubildende";1.;832;2021-01-01;
72;Baugewerbe;Berlin;"kaufmännisch/ technisch Auszubildende";2.;996;2021-01-01;
75;Baugewerbe;Berlin;"kaufmännisch/ technisch Auszubildende";3.;1238;2021-01-01;
78;Baugewerbe;Brandenburg;"gewerblich Auszubildende";1.;830;2021-11-01;
81;Baugewerbe;Brandenburg;"gewerblich Auszubildende";2.;1030;2021-11-01;
84;Baugewerbe;Brandenburg;"gewerblich Auszubildende";3.;1240;2021-11-01;
87;Baugewerbe;Brandenburg;"gewerblich Auszubildende";4.;1300;2021-11-01;
90;Baugewerbe;Brandenburg;"kaufmännisch/ technisch Auszubildende";1.;823;2021-11-01;
93;Baugewerbe;Brandenburg;"kaufmännisch/ technisch Auszubildende";2.;935;2021-11-01;
96;Baugewerbe;Brandenburg;"kaufmännisch/ technisch Auszubildende";3.;1154;2021-11-01;
99;Bekleidungsindustrie;Berlin-West;"alle Auszubildenden";1.;838;2020-09-01;
102;Bekleidungsindustrie;Berlin-West;"alle Auszubildenden";2.;889;2020-09-01;
105;Bekleidungsindustrie;Berlin-West;"alle Auszubildenden";3.;940;2020-09-01;
108;Bekleidungslohngewerbe;deutschlandweit;"gewerblich Auszubildende";1.;736;2021-11-01;
111;Bekleidungslohngewerbe;deutschlandweit;"gewerblich Auszubildende";2.;826;2021-11-01;
114;Bekleidungslohngewerbe;deutschlandweit;"gewerblich Auszubildende";3.;951;2021-11-01;
117;Bekleidungslohngewerbe;"alte Bundesländer einschließlich Berlin-West (ohne Unterfranken)";"kaufmännisch/ technisch Auszubildende";1.;736;2021-01-01;
120;Bekleidungslohngewerbe;"alte Bundesländer einschließlich Berlin-West (ohne Unterfranken)";"kaufmännisch/ technisch Auszubildende";2.;808;2021-11-01;
123;Bekleidungslohngewerbe;"alte Bundesländer einschließlich Berlin-West (ohne Unterfranken)";"kaufmännisch/ technisch Auszubildende";3.;951;2021-11-01;
138;Betonsteingewerbe;Berlin;"alle Auszubildenden";1.;748;2021-07-01;"Beton- und Fertigteilindustrie"
141;Betonsteingewerbe;Berlin;"alle Auszubildenden";2.;799;2021-07-01;"Beton- und Fertigteilindustrie"
144;Betonsteingewerbe;Berlin;"alle Auszubildenden";3.;913;2021-07-01;"Beton- und Fertigteilindustrie"
147;Betonsteingewerbe;Berlin;"alle Auszubildenden";4.;994;2021-07-01;"Beton- und Fertigteilindustrie"
150;Betonsteingewerbe;Brandenburg;"alle Auszubildenden";1.;709;2021-07-01;"Beton- und Fertigteilindustrie"
153;Betonsteingewerbe;Brandenburg;"alle Auszubildenden";2.;788;2021-07-01;"Beton- und Fertigteilindustrie"
156;Betonsteingewerbe;Brandenburg;"alle Auszubildenden";3.;913;2021-07-01;"Beton- und Fertigteilindustrie"
159;Betonsteingewerbe;Brandenburg;"alle Auszubildenden";4.;994;2021-07-01;"Beton- und Fertigteilindustrie"
162;Binnenschifffahrt;deutschlandweit;"Monatsgrundvergütung für Auszubildenden (Schiffsjungen)";1.;936.22;2015-07-01;"Güterschifffahrt und ständige Fahrt (Continuefahrt)"
165;Binnenschifffahrt;deutschlandweit;"Monatsgrundvergütung für Auszubildenden (Schiffsjungen)";2.;1071.28;2015-07-01;"Güterschifffahrt und ständige Fahrt (Continuefahrt)"
168;Binnenschifffahrt;deutschlandweit;"Monatsgrundvergütung für Auszubildenden (Schiffsjungen)";3.;1208.84;2015-07-01;"Güterschifffahrt und ständige Fahrt (Continuefahrt)"
183;"Brot- und Backwarenindustrie";"neue Bundesländer und Berlin";"alle Auszubildenden";1.;858;2021-01-01;
186;"Brot- und Backwarenindustrie";"neue Bundesländer und Berlin";"alle Auszubildenden";2.;941;2021-01-01;
189;"Brot- und Backwarenindustrie";"neue Bundesländer und Berlin";"alle Auszubildenden";3.;1067;2021-01-01;
192;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende unter 18 Jahren";1.;366;2003-05-01;
195;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende unter 18 Jahren";2.;406;2003-05-01;
198;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende unter 18 Jahren";3.;446;2003-05-01;
201;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende ab 18 Jahren";1.;406;2003-05-01;
204;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende ab 18 Jahren";2.;456;2003-05-01;
207;Buchbindehandwerk;deutschlandweit;"gewerblich Auszubildende ab 18 Jahren";3.;506;2003-05-01;
210;"Buchbindereien, industrielle";Berlin-West;"alle Auszubildenden (nach 3. Jahr nur für gewerblich Auszubildende)";1.;881.97;2014-05-01;
213;"Buchbindereien, industrielle";Berlin-West;"alle Auszubildenden (nach 3. Jahr nur für gewerblich Auszubildende)";2.;933.1;2014-05-01;
216;"Buchbindereien, industrielle";Berlin-West;"alle Auszubildenden (nach 3. Jahr nur für gewerblich Auszubildende)";3.;984.23;2014-05-01;
219;"Buchbindereien, industrielle";"Berlin-Ost und Brandenburg";"alle Auszubildenden (nach 3. Jahr nur für gewerblich Auszubildende)";;1035.36;2014-05-01;"keine tarifvertraglichen Regelungen"
222;"Buchhandel, herstellender";Berlin;"alle Auszubildenden";1.;752;2020-02-01;
225;"Buchhandel, herstellender";Berlin;"alle Auszubildenden";2.;812;2020-02-01;
228;"Buchhandel, herstellender";Berlin;"alle Auszubildenden";3.;870;2020-02-01;
258;"Chemische Industrie";"Berlin-Ost und Brandenburg";"alle Auszubildenden";3.;1122;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
261;"Chemische Industrie";"Berlin-Ost und Brandenburg";"alle Auszubildenden";4.;1179;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
240;"Chemische Industrie";Berlin-West;"alle Auszubildenden";1.;1055;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
243;"Chemische Industrie";Berlin-West;"alle Auszubildenden";2.;1109;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
246;"Chemische Industrie";Berlin-West;"alle Auszubildenden";3.;1136;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
249;"Chemische Industrie";Berlin-West;"alle Auszubildenden";4.;1191;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
252;"Chemische Industrie";"Berlin-Ost und Brandenburg";"alle Auszubildenden";1.;1046;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
255;"Chemische Industrie";"Berlin-Ost und Brandenburg";"alle Auszubildenden";2.;1100;2021-07-01;"Abschluss des Arbeitgeberverbandes Nordostchemie e.V."
264;Dachdeckerhandwerk;deutschlandweit;"auszubildende Dachdecker";1.;780;2021-01-01;
267;Dachdeckerhandwerk;deutschlandweit;"auszubildende Dachdecker";2.;940;2021-01-01;
270;Dachdeckerhandwerk;deutschlandweit;"auszubildende Dachdecker";3.;1200;2021-01-01;
291;"Dienstleistungen 3";"Berlin und Brandenburg";;1.;938;2017-01-01;
294;"Dienstleistungen 3";"Berlin und Brandenburg";;2.;996;2017-01-01;
297;"Dienstleistungen 3";"Berlin und Brandenburg";;3.;1059;2017-01-01;
300;"Dienstleistungen 3";"Berlin und Brandenburg";;4.;1102;2017-01-01;
303;Druckindustrie;"deutschlandweit (ohne Brandenburg)";"gewerblich Auszubildende";1.;986.52;2021-08-01;
306;Druckindustrie;"deutschlandweit (ohne Brandenburg)";"gewerblich Auszubildende";2.;1037.65;2021-08-01;
309;Druckindustrie;"deutschlandweit (ohne Brandenburg)";"gewerblich Auszubildende";3.;1088.78;2021-08-01;
312;Druckindustrie;"deutschlandweit (ohne Brandenburg)";"gewerblich Auszubildende";"nach 3.";1139.91;2021-08-01;
315;Druckindustrie;Brandenburg;"gewerblich Auszubildende";1.;735.53;2003-01-01;
318;Druckindustrie;Brandenburg;"gewerblich Auszubildende";2.;786.66;2003-01-01;
321;Druckindustrie;Brandenburg;"gewerblich Auszubildende";3.;837.79;2003-01-01;
324;Druckindustrie;Brandenburg;"gewerblich Auszubildende";"nach 3.";888.92;2003-01-01;
327;Druckindustrie;Berlin;"kaufmännisch/ technisch Auszubildende";1.;986.52;2021-05-01;
330;Druckindustrie;Berlin;"kaufmännisch/ technisch Auszubildende";2.;1037.65;2021-05-01;
333;Druckindustrie;Berlin;"kaufmännisch/ technisch Auszubildende";3.;1088.78;2021-05-01;
336;Druckindustrie;Brandenburg;"kaufmännisch/ technisch Auszubildende";1.;735.53;2002-04-01;
339;Druckindustrie;Brandenburg;"kaufmännisch/ technisch Auszubildende";2.;786.66;2002-04-01;
342;Druckindustrie;Brandenburg;"kaufmännisch/ technisch Auszubildende";3.;837.79;2002-04-01;
345;Einzelhandel;Berlin;"kaufmännisch Auszubildende, Verkäuferin/Verkäufer nur erstes und zweites Ausbildungsjahr";1.;850;2020-09-01;
348;Einzelhandel;Berlin;"kaufmännisch Auszubildende, Verkäuferin/Verkäufer nur erstes und zweites Ausbildungsjahr";2.;940;2020-09-01;
351;Einzelhandel;Berlin;"kaufmännisch Auszubildende, Verkäuferin/Verkäufer nur erstes und zweites Ausbildungsjahr";3.;1060;2020-09-01;
354;Einzelhandel;Brandenburg;"alle Auszubildenden";;850;2020-09-01;
357;Einzelhandel;Brandenburg;"alle Auszubildenden";;940;2020-09-01;
360;Einzelhandel;Brandenburg;"alle Auszubildenden";;1060;2020-09-01;
375;"Eisen- und Stahlindustrie";"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";1.;980;2020-03-01;
378;"Eisen- und Stahlindustrie";"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";2.;1029;2020-03-01;
381;"Eisen- und Stahlindustrie";"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";3.;1102;2020-03-01;
384;"Eisen- und Stahlindustrie";"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";4.;1197;2020-03-01;
387;"Eisen- und Stahlindustrie";Berlin-West;;;;1970-01-01;"keine tarifvertraglichen Regelungen"
